,City Name,Temperature,Humidity,Cloudiness,Wind Speed
92,Mets Parni,11.9,34,76,2.2
93,Acapulco de Juárez,24.92,90,100,2.83
94,Mehamn,6.97,76,0,7.2
95,Bowen,23.73,71,7,8.3
96,Valdivia,10.05,98,71,1.56
97,Vila Velha,22.97,83,0,3.09
98,Kaitangata,6.18,77,9,1.08
99,Jalu,26.41,31,80,1.16
100,Atuona,24.95,78,22,7.33
101,Ponta Delgada,20.83,73,75,1.03
102,Acajutla,25.63,89,92,2.53
103,Tautira,24.74,81,38,6.89
104,Kuril'sk,10.26,76,76,8.43
105,Takoradze,25.71,79,97,0.99
106,Camagüey,24.19,94,20,2.57
107,Ponta do Sol,21.51,78,59,1.3
108,Ouadda,25.53,68,84,1.84
109,Bubaque,27.95,75,95,5.14
110,East London,23.52,73,20,2.57
111,Isangel,24.05,82,100,3.12
112,Madang,26.23,86,100,2.4
113,Khatanga,-0.17,99,100,1.82
114,Vardø,5.99,93,75,4.63
115,Bairiki Village,28.0,78,75,7.2
116,Khovd,11.05,21,9,2.74
117,Butaritari,27.85,74,25,9.35
118,Port Hardy,6.1,93,0,2.06
119,Coquimbo,10.85,93,75,1.54
120,Loudéac,10.96,85,100,1.91
121,Saldanha,18.03,81,88,7.54
122,Zyryanka,-10.87,93,100,2.37
123,Aniva,9.06,71,2,3.97
124,Nanortalik,-1.23,70,66,2.77
125,Bambous Virieux,25.14,61,40,6.17
126,Dikson,-0.15,91,100,6.88
127,Upernavik,-8.25,74,96,2.06
128,Nikolskoye,9.32,74,1,3.48
129,Kota,31.61,38,0,3.24
130,Cayenne,24.02,100,0,1.03
131,Cherskiy,-13.27,93,63,3.55
132,Bud,16.97,70,100,4.46
133,Puerto Ayora,19.19,88,84,1.34
134,Brigantine,13.9,87,0,0.45
135,Saint-Philippe,25.77,59,0,5.89
136,Margate,11.28,92,100,3.56
137,Qaanaaq,-14.68,66,11,3.41
138,Rocha,10.35,93,82,2.14
139,Chokurdakh,-12.76,89,15,2.75
140,Umeå,6.06,70,0,5.66
141,Kuytun,6.0,77,100,3.91
142,Khingansk,4.3,63,68,1.03
143,Ingham,14.92,77,100,4.63
144,Broome,12.21,80,0,2.57
145,Buraidah,32.25,10,0,4.1
146,Barcelos,19.95,72,9,0.71
147,Lovozero,6.23,91,100,2.74
148,São Filipe,26.2,80,37,2.55
149,Provideniya,-2.31,74,7,2.05
150,Ruidoso,12.7,71,0,5.14
151,Līvāni,8.85,76,14,2.77
152,Caravelas,24.27,70,100,2.47
153,Airai,20.83,69,78,0.83
154,At-Bashi,14.46,17,0,0.78
155,Lebu,10.37,93,93,4.18
156,Clyde River,-5.87,93,100,5.14
157,Tonj,29.72,63,48,0.29
158,Severo-Kuril'sk,8.02,88,81,15.49
159,Port Augusta,14.04,87,100,3.55
160,Mar del Plata,10.05,79,0,7.15
161,Zhongshu,14.48,97,100,1.84
162,Faanui,25.9,72,0,6.28
163,Ojinaga,18.53,77,0,2.57
164,Polewali,27.65,81,82,1.33
165,Tshikapa,30.34,50,94,1.03
166,Kamaishi,15.57,65,100,1.08
167,Pedernales,26.81,64,56,1.61
168,Ozernovskiy,8.11,93,100,15.32
169,Rock Sound,27.78,76,30,6.47
170,Winchester,11.38,94,20,1.03
171,São Bento do Sul,16.24,95,100,2.4
172,Hilo,24.03,89,20,2.06
173,Noumea,21.99,78,100,4.9
174,Tebingtinggi,29.67,59,87,2.1
175,Şabyā,34.79,46,6,3.23
176,Kiunga,25.01,95,100,1.06
177,Bozoum,23.11,86,99,0.46
178,Ust-Nera,-13.24,98,73,1.65
179,Springbok,28.59,17,77,0.25
180,Muroto-misakicho,21.58,62,100,6.71
181,Skjervøy,7.0,85,100,11.51
182,Vaini,23.09,94,20,3.09
183,Udachny,1.92,93,100,1.89
184,Guarujá,21.05,26,100,3.03
185,Ola,-1.03,62,100,1.95
186,Kyshtovka,6.11,76,100,4.36
187,Vila Franca do Campo,20.66,87,20,0.72
188,Miraí,19.61,85,92,0.57
189,Acarí,16.92,73,52,1.65
190,Halifax,9.0,89,36,3.09
191,Tasiilaq,-1.7,95,100,2.07
192,Vestmannaeyjar,7.38,71,100,7.16
193,Balkanabat,24.76,43,0,3.83
194,Balyqshy,15.0,63,40,9.0
195,Gambo,24.5,75,93,0.86
196,Yar-Sale,4.61,70,100,4.17
197,Meulaboh,29.05,67,98,2.88
198,Bontang,29.56,67,95,3.08
199,Nueva Helvecia,6.44,64,0,3.56
200,Mount Gambier,12.7,96,100,2.03
201,Simao,22.95,69,99,1.72
202,Viking,6.07,45,17,6.7
203,San Quintín,18.96,85,26,4.06
204,Arraial do Cabo,21.63,90,59,11.59
205,Ribeira Grande,21.54,88,75,0.89
206,Talas,14.37,51,0,4.12
207,Sheltozero,8.97,78,74,5.51
208,Ambulu,28.22,68,81,3.51
209,Nushki,25.9,6,0,2.62
210,Puerto del Rosario,20.86,83,20,5.66
211,Muhafazat Lahij,31.94,30,20,3.7
212,Iqaluit,-4.15,86,75,1.54
213,Mednogorsk,16.13,22,100,5.53
214,Nelson Bay,18.89,74,100,7.6
215,Vao,22.41,78,100,8.73
216,Notodden,8.07,100,20,0.0
217,Boffa,22.5,91,97,2.18
218,Yining,23.77,26,1,2.52
219,São Miguel do Tapuio,24.55,53,17,4.86
220,Tres Arroyos,12.04,32,57,7.2
221,Ipixuna,22.58,97,34,1.52
222,Touros,23.85,84,77,5.69
223,George Town,31.96,71,20,3.6
224,Bilibino,-18.5,100,98,1.79
225,Yerbogachën,1.64,97,100,6.03
226,Kralendijk,26.99,89,75,3.09
227,Laas,12.49,74,41,0.32
228,Kununurra,40.99,20,75,3.09
229,Hong Kong,30.66,39,6,3.13
230,Beibei,22.43,69,100,0.96
231,Salinópolis,26.01,84,17,4.76
232,Shatrovo,12.42,65,93,1.35
233,Pankovka,7.8,82,35,2.71
234,Atbasar,14.79,30,100,2.01
235,Deputatsky,-17.93,79,1,2.39
236,Kapoeta,31.67,28,6,7.26
237,Río Gallegos,2.03,69,0,10.29
238,Pisco,15.03,82,5,1.54
239,Vanimo,27.07,81,100,2.38
240,Weyburn,8.12,46,97,9.26
241,Port Elizabeth,23.39,85,75,1.03
242,Dubti,33.52,26,6,1.4
243,Mount Isa,35.87,20,11,4.12
244,Nizwá,34.26,9,1,2.84
245,Tanout,30.75,16,11,6.47
246,Port Macquarie,17.72,69,100,3.36
247,Alofi,23.94,94,66,2.06
248,Igurusi,26.98,24,86,2.55
249,Chicama,14.3,88,64,2.25
250,Benidorm,21.94,71,99,4.86
251,Torbay,10.32,84,75,7.72
252,Derazhnya,12.15,62,11,3.69
253,Najrān,27.36,15,21,3.57
254,Daru,27.03,82,59,5.37
255,Namtsy,-3.1,81,99,1.65
256,Lazi,12.39,80,98,0.93
257,Araouane,32.81,14,2,1.49
258,Magaria,30.24,19,43,5.0
259,Norman Wells,-2.98,80,40,3.09
260,Poros,21.03,67,8,3.6
261,Boa Vista,23.99,94,0,2.06
262,Thinadhoo,27.83,76,100,8.33
263,Eyl,30.82,54,97,7.13
264,Pattani,30.84,65,100,0.81
265,Taoudenni,33.12,19,98,3.12
266,Tarnogskiy Gorodok,8.06,68,44,2.36
267,Pingliang,12.0,64,100,0.23
268,Huarmey,15.87,90,92,3.73
269,Xifeng,14.4,58,22,5.13
270,Dicabisagan,24.76,96,100,0.69
271,Galle,27.06,82,70,6.08
272,Kodinsk,4.62,90,98,3.06
273,São Paulo de Olivença,21.59,99,100,0.21
274,Rosário Oeste,23.0,90,100,1.19
275,San Alberto,23.51,84,98,0.96
276,Saint-Pierre,25.82,57,0,10.29
277,Sola,27.43,69,15,1.72
278,Winnemucca,6.03,49,0,2.06
279,Praia da Vitória,19.86,94,20,0.94
280,Kiama,18.54,77,100,3.13
281,Tuatapere,6.06,80,5,1.51
282,Ust-Maya,-3.72,88,93,0.47
283,Brae,11.42,89,100,8.13
284,Rongcheng,21.7,47,2,3.32
285,Ballitoville,25.65,61,0,5.14
286,Faya,23.06,19,42,0.73
287,Pauini,22.08,97,100,1.3
288,Linares,6.17,94,5,1.79
289,Prince Rupert,10.83,96,100,3.09
290,Currais Novos,23.03,70,100,7.79
291,Jiayuguan City,12.28,20,100,2.94
292,Manacapuru,24.04,84,99,1.12
293,Omsukchan,-16.44,94,100,0.87
294,Karratha,32.17,13,77,8.89
295,Villa María,13.23,54,55,4.4
296,Hanyang,13.13,85,100,1.28
297,Puerto Escondido,24.63,86,100,1.43
298,Santa Maria,13.49,97,100,1.97
299,Oktyabr'skoye,13.08,58,75,3.0
300,Zilupe,8.95,73,10,3.25
301,Anchorage,2.02,76,75,4.12
302,Buala,27.73,72,100,1.54
303,Aswān,29.61,30,0,4.12
304,Port Lincoln,14.37,69,100,5.9
305,Praia,25.3,88,75,3.09
306,Elliot,28.27,21,100,5.57
307,Karpogory,7.48,66,87,3.72
308,Traralgon,14.86,99,100,1.43
309,Creel,7.02,66,4,1.38
310,Nago,26.92,77,96,7.39
311,Rechka Vydrino,8.89,58,100,0.95
312,Fare,25.71,74,1,5.77
313,Kieta,26.58,82,61,1.33
314,Phalaborwa,29.6,30,4,3.5
315,Gobabis,29.31,12,55,7.95
316,Novochernorechenskiy,6.31,79,100,4.25
317,Mareeba,26.91,70,19,3.6
318,Aksu,17.44,28,0,1.01
319,Saint George,19.33,33,0,1.54
320,Khandagayty,7.57,46,86,2.24
321,Korla,15.19,29,0,4.34
322,Tolga,21.45,48,59,1.98
323,Medicine Hat,10.24,41,100,5.14
324,Thompson,2.09,93,100,6.69
325,Abhā,22.9,15,0,3.6
326,Mmabatho,26.98,29,0,5.66
327,Port Blair,27.02,83,40,2.06
328,Thongwa,33.09,65,41,1.23
329,Tual,28.87,69,100,3.7
330,Novaya Malykla,13.41,70,43,2.06
331,Kulhudhuffushi,26.35,82,100,9.49
332,Henties Bay,16.6,81,100,1.52
333,Gouré,31.46,17,15,6.72
334,Antanifotsy,23.95,17,0,5.23
335,Havøysund,7.13,84,79,10.76
336,Mildura,18.93,73,100,2.46
337,Shache,20.47,15,13,3.46
338,Goderich,13.84,88,100,3.6
339,Kilingi-Nõmme,8.67,66,78,3.34
340,Santa Marta,27.72,77,46,2.24
341,Itigi,24.9,30,58,5.26
342,Rio Grande,14.18,91,100,4.39
343,Kurunegala,27.14,83,100,2.35
344,Council Bluffs,14.16,86,100,3.6
345,Susanville,8.91,49,0,1.54
346,Rondonópolis,22.86,86,100,0.83
347,Khuzhir,8.7,68,82,5.47
348,Cabo San Lucas,27.51,77,0,0.45
349,Jacareacanga,21.22,98,95,0.58
350,Hauterive,15.42,81,56,0.45
351,Gulbene,9.28,74,44,3.08
352,Āmlāgora,32.07,58,47,2.53
353,Kloulklubed,24.28,74,100,5.96
354,Dongsheng,14.93,29,96,1.83
355,San Vicente,12.16,99,100,0.31
356,Nouadhibou,22.99,73,46,8.23
357,Geraldton,19.23,45,0,9.26
358,Aklavik,-5.99,91,89,0.54
359,Wanning,26.25,64,45,5.39
360,Al Bardīyah,23.92,57,0,4.36
361,Richards Bay,26.37,60,64,4.32
362,Yemel'yanovo,8.45,76,40,4.0
363,Kupang,31.32,70,75,4.63
364,Vilyuysk,1.58,99,100,2.22
365,Mwene-Ditu,25.8,57,67,2.29
366,Şurmān,28.69,36,5,2.51
367,Barrhead,12.69,89,75,6.69
368,Choloma,24.95,96,40,1.54
369,Usinsk,7.29,78,89,7.39
370,Kabanjahe,24.7,57,99,1.76
371,Dunmore East,14.27,79,75,5.66
372,Andros Town,26.98,75,11,6.31
373,Saint Anthony,15.53,73,100,8.75
374,Vila,10.49,78,17,1.1
375,Robertsport,22.92,93,100,2.4
376,Inírida,22.11,99,87,0.77
377,Farafangana,25.44,58,16,4.94
378,Morgan City,22.0,88,0,0.0
379,Quatre Cocos,25.06,65,4,6.68
380,Diamantina,13.8,79,90,2.23
381,Goulburn,12.88,86,100,4.91
382,Necochea,12.39,40,98,8.65
383,Namie,17.62,81,100,0.45
384,Pabradė,6.81,81,39,3.28
385,Macapá,25.99,94,20,1.03
386,Nyurba,2.33,98,100,2.65
387,Alta Floresta,21.41,88,95,1.05
388,Powell River,12.33,79,2,1.97
389,Dzhebariki-Khaya,-3.04,96,100,0.81
390,Camaná,15.33,85,71,3.84
391,Mahajanga,30.01,35,0,8.75
392,Tura,24.53,89,100,1.83
393,Ocós,24.94,85,100,2.41
394,Tha Mai,30.52,62,42,2.05
395,Bonoua,25.79,80,93,0.37
396,Leshukonskoye,7.02,70,98,4.0
397,Bilma,30.52,15,0,4.92
398,Matamoros,20.06,62,12,1.59
399,Batemans Bay,17.28,83,100,5.78
400,Cranbrook,8.91,49,0,1.54
401,Swift Current,3.45,60,0,7.72
402,Katsuura,21.48,75,100,7.93
403,Alyangula,29.47,68,57,6.71
404,Shahrud,22.73,31,0,3.73
405,Omboué,27.69,73,72,1.49
406,Toora-Khem,10.02,39,99,1.21
407,Lüderitz,21.03,61,26,6.08
408,Nānākuli,25.97,83,100,3.6
409,Sobreira,17.55,70,30,1.5
410,Chui,11.63,96,78,2.65
411,Zabul Province,19.24,7,0,2.85
412,Manhattan,16.78,67,0,3.13
413,Mehtar Lām,26.44,36,0,1.79
414,Sonkovo,5.32,92,100,2.12
415,Krasnosel'kup,2.85,97,100,5.32
416,Sliven,18.2,48,100,1.11
417,Diffa,31.67,25,95,4.58
418,Suicheng,21.1,39,71,3.46
419,Mvuma,27.44,10,0,5.98
420,Hamilton,16.11,72,40,4.63
421,Lagoa,20.97,80,0,2.49
422,Dingle,28.83,79,66,5.08
423,Bathsheba,27.34,83,40,7.72
424,Ancud,8.55,87,100,6.49
425,Jijiang,22.5,66,100,1.12
426,Berlevåg,7.0,87,0,2.57
427,Cabedelo,22.37,80,36,6.48
428,Yulara,28.66,24,18,9.19
429,Asău,12.51,57,91,1.71
430,San Policarpo,29.49,76,100,0.25
431,Lodja,29.8,49,30,2.33
432,Shumskiy,7.65,69,100,2.24
433,Camacha,18.68,77,20,4.63
434,Arroio Grande,13.11,98,100,2.49
435,Swan River,5.94,75,100,4.63
436,Tegul'det,7.2,58,100,3.34
437,Sisimiut,-2.56,84,99,5.96
438,Golub-Dobrzyń,10.87,64,11,3.06
439,Ekenäs,12.28,92,7,5.46
440,Aksha,10.56,32,99,3.6
441,Oriximiná,23.66,79,100,1.34
442,Emerald,26.3,39,0,4.36
443,Westport,14.07,84,0,0.45
444,Kruisfontein,22.16,54,95,3.48
445,Saint-Joseph,25.61,55,0,6.28
446,Hays,22.45,83,0,3.03
447,Waddān,27.94,21,0,3.87
448,Bandar-e Lengeh,33.06,66,0,3.09
449,Anadyr,-8.72,86,0,2.0
450,Sabang,27.67,72,99,3.93
451,Constitución,9.76,82,0,3.7
452,Maxixe,27.9,74,40,3.6
453,Wilmington,16.08,93,0,0.45
454,Portland,16.16,79,0,2.68
455,Gallup,8.42,81,0,1.54
456,Maravilla,29.84,66,100,0.62
457,Allonnes,8.02,87,0,1.03
458,Eydhafushi,26.35,81,99,9.97
459,Fortuna,10.19,93,100,0.0
460,Cravo Norte,23.28,91,69,1.91
461,Souillac,25.21,61,40,6.17
462,Port-Gentil,27.98,74,40,4.12
463,St. George's,24.82,94,100,2.57
464,Tyrma,4.54,68,100,1.22
465,‘Ewa Beach,25.97,88,100,3.6
466,Kindu,26.98,63,100,1.66
467,Belaya Gora,-10.02,79,1,2.21
468,Lethem,23.68,85,100,1.58
469,Almaznyy,10.71,76,96,6.28
470,Ulaanbaatar,9.07,25,20,6.0
471,Bumba,28.05,63,63,1.71
472,Olhão,20.61,79,0,0.0
473,Horodyshche,13.76,61,17,4.38
474,Caborca,21.71,61,0,0.61
475,Jagatsinghapur,32.2,61,77,3.5
476,Nanzhang,21.2,31,67,1.89
477,Santarém,23.07,100,0,2.06
478,Santa Ana,20.59,90,75,1.54
479,Canberra,16.82,71,75,5.66
480,Reconquista,10.41,81,0,1.24
481,São Domingos do Maranhão,22.17,50,96,1.39
482,Marquette,15.46,88,73,5.66
483,Quarteira,20.53,80,0,0.0
484,Tomakomai,14.08,58,20,4.63
485,Xining,11.49,41,100,3.28
486,Rtishchevo,8.63,93,100,3.92
487,Sinnamary,25.01,87,80,2.42
488,Rāvar,28.72,10,0,4.61
489,Grindavik,6.26,75,40,5.66
490,Potrero Grande,25.23,93,92,1.4
491,Bay Roberts,10.74,86,27,1.34
492,Sulangan,29.77,70,100,2.91
493,Gusau,28.13,33,39,3.79
494,San Juan,16.1,25,0,2.45
495,Kyren,10.84,41,100,2.43
496,Viedma,12.66,53,5,3.98
497,Fort Nelson,2.77,60,75,3.09
498,Hay River,0.99,51,40,14.4
499,Gimli,8.01,76,57,3.09
500,Inhambane,27.99,74,40,3.6
501,Iraan,20.64,62,39,4.04
502,Niquelândia,25.85,27,90,2.1
503,Lahijan,23.88,64,90,1.02
504,Zeya,5.29,65,100,2.99
505,San Patricio,27.69,90,0,2.41
506,Shelburne,14.51,72,100,6.11
507,Kailua,25.99,91,100,1.19
508,Amapá,20.81,100,97,0.56
509,Esim,26.12,76,99,0.19
510,Huambo,26.92,31,3,1.87
511,Qaqortoq,-5.38,69,97,3.79
512,Narasannapeta,29.87,70,60,3.01
513,Ahipara,13.63,85,100,1.53
514,Kidal,30.49,13,3,5.62
515,Gari,9.26,65,42,2.75
516,Cervo,16.09,90,38,0.25
517,Lahaina,27.0,88,87,1.51
518,Basco,27.06,82,100,12.76
519,Bougouni,24.12,85,37,2.41
520,Skibbereen,13.95,91,100,4.78
521,Bela,30.36,58,90,0.75
522,Comodoro Rivadavia,10.92,40,0,16.46
523,Umm Hājar,30.8,41,66,4.61
524,Puttūr,29.06,69,67,2.49
525,Bokajān,31.09,66,40,2.57
526,Semīrom,19.34,12,0,3.47
527,Rawson,13.07,50,100,8.61
528,Waynesville,15.36,83,17,0.89
529,Baijiantan,16.23,25,7,3.08
530,Portsmouth,11.65,95,100,2.4
531,Bariloche,7.36,61,75,11.32
532,Iracoubo,24.74,88,77,2.76
533,Eravur,29.88,66,56,4.9
534,Gazli,23.63,10,2,1.77
535,Honiara,26.42,84,94,0.86
536,Arrondissement de Foix,13.06,81,92,0.47
537,Yumen,13.15,20,100,1.9
538,Mango,25.48,94,0,1.54
539,Itarema,25.64,75,68,7.12
540,Melo,12.17,95,96,2.38
541,Cururupu,23.95,88,29,1.85
542,Daloa,22.09,95,100,0.95
543,Laishevo,9.12,77,38,2.77
544,Kariba,29.24,31,45,2.75
545,Bezenchuk,13.48,62,100,2.77
546,Ganzhou,22.98,27,2,4.61
547,Máncora,20.58,72,30,2.24
548,Shirokiy,8.51,53,91,4.23
549,Hohhot,16.16,27,0,1.0
550,Batagay-Alyta,-14.52,87,3,0.7
551,Cairns,29.48,77,100,7.2
552,Saint-Augustin,0.06,78,9,3.09
553,Pontianak,29.99,70,75,5.14
554,Pemangkat,27.68,76,59,6.45
555,Jumla,17.43,60,3,2.19
556,Muravlenko,4.96,70,100,6.88
557,Tambopata,22.28,95,82,0.41
558,Tucumcari,17.19,32,2,4.98
559,Krutinka,11.17,47,8,2.5
560,Lafia,26.07,85,100,0.74
561,Sarāhan,16.6,59,51,3.24
562,Lavrentiya,-2.69,65,3,2.75
563,Rāpar,34.53,27,2,1.88
564,Santa Barbara,15.46,95,100,0.0
565,Sur,32.24,24,0,3.22
566,Gunjur,23.04,100,75,0.0
567,Bugene,21.87,58,94,1.88
568,Ust'-Kut,5.78,79,88,4.61
569,Gemena,25.41,81,95,1.11
570,Hambantota,33.19,58,40,6.17
